文本类别,文本内容
体育,男子冰球小组赛中国再战加拿大27落败
体育,网易体育2月15日报道北京时间2月15日北京2022年冬奥会花样滑冰女单短节目的比拼在首都体育馆展开中国队唯一的女单代表朱易在第二组最后一位登场音乐来自滚石乐队名曲PaintItBlack团体赛失利后她顶住压力状态回暖开场菲利普三周周数不足双足落冰未能接上连跳第二跳两周半漂亮完成最后一跳后外三周顺利落冰并补上两周连跳获得技术分2637节目内容分2707短节目5344最终排名第27位无缘自由滑1992年陈露横空出世斩获第六后中国女单30年来首次无缘自由滑相关阅读朱易扛住压力完赛对镜头比心陈露今晚她很拼冬奥会女单花样滑冰短节目比赛今晚在首体上演中国选手朱易第12位亮相开场菲利普三周周数不足双足落冰未能接上连跳名将陈露点评运动员开场的跳跃一旦失误在随后的表演中通常承受着巨大的压力不敢做动作但朱易很拼所以在这种高压的情况看到了她的成长整个表现很轻松陈露表示朱易回应质疑我只是一个普通的女孩我想做好当下北京时间2月15日晚在首都体育馆举行了花样滑冰女单短节目的比赛中国小将朱易位列第12位出场滑出了5344分的成绩赛后朱易在接受媒体采访时提到外界社交媒体上网友给予的压力她表示我只是一个普通的女孩想去展现奥林匹克精神我想做好当下我屏蔽了很多信息平时会通过画画来缓解压力
体育,在即将年满18岁的前三天靠着自己的努力和坚持赢下梦想中的冬奥金牌作为成年礼苏翊鸣和单板滑雪的故事宛如童话一般美好为什么苏翊鸣能够在这届冬奥会上如此吸粉年轻就要张扬个性他在创造中国冬奥历史的这一天所展现出的一切已经给出了答案为了梦想坚持不懈面对胜败从容淡定言行得体又充满个性懂得在追求极致的过程中享受快乐苏翊鸣赢下的这枚金牌也是中国代表团在本届冬奥会上的第六枚金牌创造了中国冬奥的历史最好成绩这枚改写历史的金牌背后是苏翊鸣这样的00后运动员给中国体育带来的巨大惊喜苏翊鸣征服首钢大跳台个性鲜明却不失风度为什么你在最后一跳会选择以一个如此简单的动作来完赛之前你说希望挑战一下最难的动作为什么没有做处于什么考虑放弃了想更高难的动作挑战一下从赛后的混合采访区到新闻发布会不少记者都提出了这些类似的问题他们都很好奇苏翊鸣最后一跳的选择按照男子单板滑雪大跳台的规则在三个动作中每个选手的最终成绩是取最好的两个成绩相加来计算苏翊鸣在前两跳已经锁定冠军的情况下完全可以尝试去挑战一下曾经做到过的1980度转体毕竟他在赛前就说过我会在决赛拿出我最难的动作对我来说我比了两场决赛不管是之前的预赛还是今天的决赛大家都展示出了全部的实力在决赛这个最后一跳之前我确实在准备1980转体的动作这也是我的计划如果前两跳我的分数不够去赢得金牌的话我会尝试1980度转体但当我知道我夺冠了我只想去享受这个瞬间用我最想做的动作滑下去苏翊鸣提前庆祝胜利苏翊鸣的回答很直接用他的说法他在之前的每一跳中全神贯注眼里只有起跳台和落地坡当他可以真正享受比赛的时候他希望能够去欣赏和感受这条赛道的风景和魅力我知道我的父母来看我的比赛所以我在第三跳滑下去的时候眼睛就一直看着他们视线从来都没有离开过我差点都撞在护垫上苏翊鸣的这番话充满了属于00后的个性而这种我更希望做自己喜欢的事的态度也让人想起了几天前同样在首钢滑雪大跳台他的好友18岁的谷爱凌回应外媒时的答案我只是希望享受我自己的生活我并不在意别人是否满意我在用我的声音在与我相关方面带来尽可能多的积极改变我不打算浪费时间在没有受过足够教育的人身上他们可能永远体会不到我有幸每天享受的喜悦感激和爱所以有人不相信我或者不喜欢我那这是他们的损失他们也成不了奥运冠军鲜明的个性是苏翊鸣和谷爱凌在赛场上下的标签之一或许这也和滑雪这项运动有着一定的关系就像苏翊鸣所说滑雪是一项非常风格化的运动可以展现每个人的个性但在释放出个性的同时苏翊鸣也不失风度和得体在混合采访区里为了不打扰其他选手采访他会等在一旁直到别人的采访结束才继续前进在赛后的新闻发布会上他会在结束后留下一句谢谢大家辛苦了也正是这些得体大方的言行举止才让苏翊鸣的鲜明个性显得更加宝贵现场观众见证苏翊鸣领奖努力永远不骗人苏翊鸣确实不需要再用单板滑雪世界里顶级难度的转体1980去证明什么了就在这场汇聚了世界上最好单板滑手的比赛中苏翊鸣是唯一一个两次成功完成转体1800的选手这已经足以证明苏翊鸣的天赋和能力以及他在面对巨大压力是的心态调整能力这样的表现对我来说是一个非常特殊的瞬间证明我过去四年的努力没有白费在这段童话般的冬奥之旅背后苏翊鸣付出了不少同龄人都难以想象的艰辛和努力他曾经一周之内滑坏过四块雪板然后在过去几年几乎把所有的寒暑假时间都投入在训练中而高强度的训练也时常给他带来严重的伤病苏翊鸣身披国旗我滑雪受过很严重的伤病尤其是在过去四年当我去挑战一些新动作的时候肯定都存在风险2017年苏翊鸣就在训练跳台的时候不小心摔倒小腿骨折他自己说经历伤病时最困难的不是身体上的恢复而是要克服受伤之后所带来的的心理上的恐惧不仅如此学习和挑战高难度的过程也同样是无比艰辛有时候我会用很长时间去克服一个动作就像我今天做的这几个动作之前也遇到过非常大的困难曾经在训练中我都练好了这些动作但是发现在雪上却做不了这个心理上的打击特别大但不管是身体上的伤病还是心理上的挫败苏翊鸣都坚持过来了苏翊鸣说这源于一份纯粹的热爱我在单板滑雪上可以体会到其他项目从来都体会不到的快乐就像苏翊鸣的偶像马克麦克莫里斯在经历了重伤甚至一度进入ICU的情况下依旧没有放弃滑雪我自己领悟出一个道理那就是努力永远不会欺骗人苏翊鸣的努力也得到了回报在北京冬奥会之前他就在大跳台世界杯美国斯蒂姆博特站夺冠并且成为单板滑雪历史上首个完成内转1980难度的选手甚至获得了吉尼斯纪录的认证我完全专注并且努力付出我的全部去完成一个又一个目标苏翊鸣和帕罗特惺惺相惜格局和视野其实在苏翊鸣赢下这枚对于中国冬奥历史具有里程碑意义的金牌之前他就已经颇具话题在此前参加的坡面障碍技巧决赛中苏翊鸣赢得了一枚银牌但那场比赛里裁判组对于金牌得主帕罗特第二滑时跳台动作的判断和打分在单板爱好者中引发争议赛后当值裁判长承认打分有误彼时不少人为苏翊鸣感到惋惜而在男子大跳台的决赛中当苏翊鸣再次遇到帕罗特他战胜了这位儿时心中的偶像不过在这场比赛之后当被问及关于这次胜利和此前的打分风波时苏翊鸣却显得格外坦然我觉得并没有任何争议我们都是为了同一种热爱来到奥运会的赛场上都是因为我们热爱的单板滑雪我知道帕罗特非常努力他也是我特别尊重的一名选手此时的苏翊鸣展现出了一份超越年龄的成熟当然取得成绩是非常开心但是对我来说最重要的是专注于我需要做的事情我达到了自己的目标没有任何的遗憾我也特别要恭喜帕罗特能够在坡面障碍获得金牌然后今天大跳台比赛也取得了特别好的成绩我们彼此都非常开心这种面对胜负的大气与谦和再一次让人联想到了他的好友谷爱凌在谷爱凌赢得女子自由式滑雪大跳台冠军的那场比赛里她在最后一跳完成后并不是第一时间庆祝胜利而是拥抱坐在地上的对手给予安慰和鼓励和谷爱凌一样同为00后的运动员苏翊鸣所展现出的从容和大气或许是比金牌更宝贵的一份财富苏翊鸣亲吻金墩墩00后兼容并包当苏翊鸣赢下一金一银之后他在社交网络上已经被不少网友封为小苏神而他也提到了苏炳添在东京奥运会上创造的历史对他的影响但这位只有18岁的小苏神去有着和大苏神完全不一样的故事在苏翊鸣赢得金牌之后当被问及他的下一个目标时苏翊鸣并没有将答案放在更难的滑雪动作上而是描绘了一个更开阔的未来之后我会有其他的梦想不管是赢得更多的比赛或者是参加更多的奥运会还是在影视上做更多的事情我都会全身心投入这是属于00后运动员独有的特质他们在年轻的时候就能够表现得更加稳重坚定专注从容和包容他们更具有体育世界性我要感谢我的祖国一直在背后支持我苏翊鸣在赢下金牌的这一天不止一次提到了祖国我感受到了祖国的强大所以我也希望尽最大努力为国争光
体育,网易体育2月16日报道北京时间2月15日冬奥会单板滑雪男子大跳台决赛中苏翊鸣夺得了金牌据了解因为长期在外参加训练和比赛为了不耽误学业在成都训练的苏翊鸣在2021年高二上学期从吉林一中转学到了成都市实验外国语学校苏翊鸣的爸爸苏群还透露苏翊鸣5月份就来成都上学了成都各方面条件非常好他这几年夏天都在成都训练
体育,观察者网讯15日中国队在单板滑雪项目上喜讯连连先是荣格创造历史获得女子大跳台第5名后是苏翊鸣在男子大跳台中夺金以1金1银完美收尾此次北京冬奥之旅在为两位选手惊艳的表现欢呼外他们背后的日本籍教练佐藤康弘也引起关注这位日本单板滑雪教父曾引荐学生荣格在2021年进入国家集训队苏翊鸣也是自2018年起师从佐藤康弘同时在本届冬奥会与中国选手同台竞技的几名日本单板滑雪选手也均是佐藤的学生在接受媒体采访时佐藤谈到对于执教中国队他有过犹豫与纠结但看到苏翊鸣等人十分信任他他就想超越国界去指导中国运动员他还说希望自己能为中日友好贡献力量能让体育成为中日友好的桥梁没有比这更好的事情了2月15日北京冬奥会单板滑雪项目所有比赛结束争夺回顾本届单板滑雪赛事第一次参加冬奥会的17岁小将苏翊鸣无疑是一颗横空出世的明星2月7日在北京冬奥会单板滑雪坡面障碍技巧比赛中苏翊鸣不惧强手敢打敢拼五轮滑行零失误以预赛第一名的成绩晋级决赛决赛中他以8870分的成绩夺得银牌为中国体育代表团夺得了北京冬奥会首枚雪上项目奖牌这也是我国单板滑雪历史上首枚男子项目奖牌实现了雪上项目重大突破2月15日在北京冬奥会单板滑雪大跳台比赛中已夺得一枚银牌还有3天年满18周岁的苏翊鸣决赛前两轮以完美的发挥奠定胜局最终他以1825的高分再夺一枚金牌成为我国历史上最年轻的冬奥会冠军也是冬奥会历史上最年轻的单板滑雪男子大跳台金牌获得者15日2022北京冬奥会单板滑雪男子大跳台决赛苏翊鸣夺冠高举雪板与冰墩墩图自东方IC除了苏翊鸣还有一个开创历史的荣格2月14日在单板滑雪大跳台女子资格赛中19岁小将荣格创造历史以预赛第九名成功进入决赛成为冬奥会该项目晋级决赛的中国第一人15日在单板滑雪大跳台女子决赛中荣格以160分的总分最终排名第5取得中国选手在该项目上的最好成绩尽管未能登上领奖台但荣格在15日的表现已堪称惊艳15日2022北京冬奥会单板滑雪女子大跳台决赛荣格出战图自东方IC苏翊鸣和荣格让2月15日成为人们难忘的日子而在观看15日比赛的过程中人们很难不注意到在苏翊鸣和荣格站上首钢滑雪大跳台时总有一人与他们拥抱击掌此人是47岁的日本籍教练佐藤康弘有着日本单板滑雪教父之称苏翊鸣和荣格都是他的学生据澎湃新闻报道佐藤在加拿大留学期间意外接触滑雪一玩就上瘾临近大学毕业他选择挑战一下极限干脆就做个职业滑雪选手佐藤将所有的热情和精力都投入到了滑雪运动之中开设了训练中心教孩子们滑雪此后的时间里佐藤为日本培养了多名滑雪赛场的名将包括鬼塚雅岩渕丽乐大冢健等选手澎湃新闻称仅限于在日本国内培养运动员已经不能满足佐藤康弘的心愿他想要离开日本为世界的冰雪运动培养人才中国成为他的下一个落脚点在北京冬奥会申办成功后佐藤康弘接受了中国方面的邀请执教单板滑雪大跳台及坡面障碍技巧队苏翊鸣与佐藤康弘在2018年结缘据上观新闻15日报道当年在父母的帮助下14岁的苏翊鸣拜师佐藤康弘初次接触苏翊鸣佐藤就对这个孩子有特别的印象苏翊鸣14岁时就很辛苦承受着超过同龄人的训练量他有非常强烈的胜负心训练中非常专注心里有着更高的要求佐藤以严厉甚至苛刻著称细致到弟子做动作时手指头脸的位置都要精确到每一度佐藤从不担心苏翊鸣在训练中松懈因为后者对自己更严苛同年备战冬奥需要跨界跨项选拔冰雪后备人才因为吃苦耐劳表现优异佐藤马上推荐了苏翊鸣苏翊鸣进入国家单板滑雪坡面障碍与大跳台集训队除了苏翊鸣荣格也是佐藤康弘引荐进入国家集训队据北京日报15日报道出生在吉林的荣格幼年时随母亲前往冰雪强国加拿大生活并喜欢上了单板滑雪在当地荣格被佐藤康弘发掘另据中国体育报14日报道身兼单板和自由式滑雪国家队的领队李扬介绍称荣格是请进来走出去战略带来的意外之喜她本是跟随佐藤康弘练习的学生2021年在佐藤推荐下荣格最终被吸纳进国家集训队在今年北京冬奥会开幕后佐藤康弘曾在YouTube上分享他与苏翊鸣以及荣格一同前往雪场训练的日常vlog通过视频可见佐藤与两位选手的日常交流夹杂着日语英语自学了日语的苏翊鸣跟佐藤沟通起来毫无障碍荣格的日语还不熟练主要通过英语交流值得一提的是在这条视频最后佐藤的学生日本选手岩渕丽乐也出镜了作为日本单板滑雪名将岩渕丽乐与鬼塚雅均参加了女子坡面障碍技巧女子大跳台比赛与荣格同台竞技另外大冢健也在单板滑雪男子坡面障碍技巧与大跳台赛场上与苏翊鸣相遇岩渕丽乐在苏翊鸣7日拿下银牌后佐藤康弘在微博上分享了他与苏翊鸣场下激动相拥的视频当苏翊鸣给佐藤戴上银牌时佐藤不禁以手掩面喜极而泣后来佐藤康弘在接受凤凰卫视驻东京首席记者李淼采访时形容了他7日的心情佐藤说夺银瞬间当时的他激动到空中舞拳真是太兴奋了在采访中他还忍不住感动落泪直喊中国太牛了另外当被记者问到作为日本教练去指导中国运动员是否会感到纠结时佐藤康弘表示他也曾有过纠结佐藤说他想过自己到底要不要加入中国队那时苏翊鸣等人对他十分信任待他也热情我感到了大家的热忱就想超越国界去指导苏翊鸣我愿意继续这样的关系佐藤康弘还说中国人都非常友善对不会中文的他也特别好他真心希望中国队能在冬奥会上取得好成绩也希望自己能为中日友好贡献力量能让体育成为中日友好的桥梁没有比这更好的事情了
体育,网易体育2月16日报道北京冬奥会自由式滑雪男子坡面障碍技巧赛美国两位选手发挥出色霍尔和戈珀分别以9001分和8648分获得冠军和亚军瑞典选手谢德以8535分拿到季军中国选手何金博资格赛排在第22位未能进入决赛中国选手何金博获得坡面障碍赛资格第一轮得到4283分第二轮失误只有2085分最终排名第22无缘晋级瑞士选手拉格特利高居资格赛第一决赛比三轮以单轮最高分排定名次第一轮美国选手霍尔发挥出色道具区高质量完成跳台区先后做了右转1620接倒滑左转720以及右转1080的连接赛段分5295分整体分3706得分9001高居第一瑞典选手谢德以8535分位列第二第二轮霍尔延续不错的状态跳台区完成左转1620倒滑左转720抓板接左转540日式主板的动作最后右转1080成功拿到8638分继续排名第一霍尔的美国队队友戈珀第二轮表现出色做出倒滑右转1280接两个1440的动作得到8648分升至第二最后一轮排名前几位的选手都出现不同程度的失误不过并不影响最终名次霍尔和戈珀分获冠军和亚军谢德拿到一枚铜牌
体育,网易体育2月15日报道2月15日晚间冬奥花滑女单在首都体育馆结束女单短节目的争夺药检阳性仍获准参赛的瓦利耶娃8216名列第一另一名俄罗斯选手谢尔巴科娃日本名将坂本花织分列二三我国的朱易出现失误5344排名第27位无缘自由滑两个月前样本药检阳性但仍获准参赛的俄罗斯选手瓦利耶娃最后一组第二位登场音乐为古典风格的悼念本场状态一般开场三周半步法滑出手扶冰菲利普三周高质量完成最后一跳勾手三周接三周连跳落冰不稳旋转方面则发挥了柔韧和姿态上的特长获得技术分4451节目内容分3765总分8216获得短节目第一世界冠军俄罗斯选手谢尔巴科娃拿出本赛季最佳短节目表现两周半菲利普三周勾手三周接三周连跳均顺利完成步法偏紧但总体合乐良好获得技术分4287节目内容分3733总分8020第二日本名将坂本花织压轴出场短节目角斗士开场完成高速流畅的两周半勾手三周顺利完成但起跳用刃稍有瑕疵后半的菲利普三周接三周则是干净利落周数高远度都相当出色加之滑行极为出色获得技术分4322节目内容分3662总分7984第三世锦赛季军俄罗斯选手特鲁索娃短节目出现较大失误开场挑战三周半失败周数不足摔倒剩余两跳菲利普三周勾手三周接三周连跳顺利完成旋转方面则稍有瑕疵短节目弗里达获得技术分4012节目内容分3548摔倒扣1总分7460第四2018年世锦赛亚军日本名将樋口新叶挑战难度成功开场成功落下本场首个三周半跳此后勾手三周接三周连跳顺利菲利普三周用刃和落冰稍有瑕疵她的表演清新细腻滑行质量和速度俱佳短节目YourSong获得技术分3953节目内容分3398总分7351收获第五韩国一姐刘永挑战三周半跳成功落冰但出现较大周数瑕疵7034暂列第六比利时的亨德里克斯则因多次落冰不稳7009暂列第七美国华裔选手刘美贤使用较低难度成套顺利完成获得6950第八韩国的金艺林格鲁吉亚的古巴诺娃均拿出完整表现65406538收获短节目第九第十代表中国的朱易团体赛失利后本场状态有所回升开场菲利普三周双足落冰周数不足未能接上连跳此后顺利调整两周半漂亮完成并在最后一跳后外三周补上两周连跳获得技术分2637节目内容分2707短节目PaintItBlack获得5344排名第27无缘自由滑此外由于俄罗斯的瓦利耶娃被允许在药检阳性的情况下参赛本场短节目晋级名额由24人升至25人国际奥委会瓦利耶娃若入围前三将取消颁奖典礼北京时间2月14日消息国际体育仲裁法庭CAS日前在听证会中驳回了针对俄罗斯奥委会队花滑运动员瓦利耶娃涉药事件的上诉这意味着瓦利耶娃仍然可以继续参加北京冬奥会女子单人滑的比赛国际奥委会发布声明表示将不会在北京冬奥会期间举行团体赛颁奖典礼俄罗斯奥委会队获得冠军同时如果瓦利耶娃最终位列女单前三那么届时奥委会也将取消女单的颁奖仪式
体育,网易体育2月16日报道在足球场上比分往往并不能完全体现场上形势今夜巴黎10小胜皇马之战就是个典型的例子巴黎虽然只是在最后时刻1球绝杀但整场比赛中占尽优势此役是球迷们所常说的小比分吊打的典型代表如今这支巴黎还远远没到完全体状态内马尔刚刚伤愈拉莫斯还在养伤在整体水平并不高的法甲巴黎也几乎场场都与对手五五开攻防整体都相当混乱不久之前巴黎在法国杯中还被尼斯所淘汰但就是这样一支远未成型的巴黎却把皇马按在禁区内暴揍了90分钟从数据上就能看出皇马此役劣势有多么大在控球率方面皇马仅为43在角球数上皇马以1比7大幅度落后在射门数方面皇马3比21落后射门总数仅仅是巴黎的七分之一3次射门创下了皇马自0304赛季以来的欧冠最差纪录在上半场中皇马甚至只在巴黎禁区内触球2次这是球队自2014年来的最差纪录与其说是巴黎压得皇马出不了球倒不如说是皇马主动选择阵型回收姆巴佩的速度是巴黎最大的杀伤性武器皇马通过整体阵型回收的方式试图压缩姆巴佩的冲刺空间同时为维尼修斯创造反击空间但皇马既没能防住姆巴佩维尼修斯也没有任何表现安切洛蒂的一大软肋是往往在关键时刻过于保守今夜他又活活自己把自己吓死在赛后接受采访时安切洛蒂表示皇马出球不够好在施压对手方面也存在短板01的比分看似并不难看但皇马次回合却面临着非常艰难的局面在伯纳乌卡塞米罗和门迪都将因累积黄牌而被停赛卡塞米罗是皇马唯一的中场屏障门迪则是唯一的防守型左后卫这两人位置所对的恰恰是梅西内马尔和迪马利亚这种突破狂皇马次回合必然会大举进攻以图翻盘但这两大主力的停赛却使得白衣军团防线存在重大隐患
体育,直播吧2月15日讯中国篮球协会官方宣布在回国前的例行核酸检测中中国女篮出访队伍有2人核酸检测结果呈阳性全队已就地进行隔离观察推迟回国以下是公告原文中国女篮经过顽强拼搏以三战全胜小组第一的出色成绩成功晋级2022年女篮世界杯在回国前的例行核酸检测中中国女篮出访队伍有2人核酸检测结果呈阳性其他24人检测结果为阴性中国篮协第一时间启动应急预案从心理医疗生活方面提供全力支持和保障同时与国际篮联密切沟通并联络我驻塞尔维亚大使馆获得有力的支持和帮助根据我国入境规定以及国际篮联和赛地防疫部门要求全队已就地进行隔离观察截至北京时间2月14日1700最新核酸结果显示无新增阳性人员中国篮协主席姚明与出访队伍每位成员进行视频连线表达了关心和敬意向大家表示中国篮协有决心有信心一个都不能少的把大家带回国带到家人身边Andy
体育,14日下午中国女足在苏州隔离驻地的训练场进行了场地训练除王霜之外的全体人员参加经初步拍片诊断王霜的伤势疑似骨裂将安排专家进一步会诊她近日没有参与队伍合练正在积极调整恢复中此前女足亚洲杯半决赛中国女足对阵日本王霜因为崴脚缺战亚洲杯决赛对阵韩国王霜首发出战60分钟之后被张琳艳换下
